               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0826,            0.027046,             0.08928,            0.048085,             0.25163,            0.035087,            0.016712,            0.056875,             0.01658,            0.088413,            0.070682,           0.0032576,           0.0032576
                   1,            0.050847,            0.025434,            0.081731,             0.43865,            0.056038,            0.048143,            0.025233,            0.049351,            0.011254,            0.082921,            0.040356,           0.0062647,           0.0062647
                   2,            0.047388,            0.024336,            0.075969,             0.48236,             0.11237,            0.075986,            0.042272,             0.04617,            0.011385,            0.077521,           0.0096993,           0.0089417,           0.0089417
                   3,            0.043992,            0.023061,            0.069012,             0.91374,            0.038449,            0.074404,            0.038346,            0.047855,            0.012523,            0.077082,            0.008515,            0.008515,            0.008515
                   4,            0.042423,            0.022933,            0.062908,             0.39873,             0.14043,            0.099607,            0.057087,            0.047468,            0.011947,            0.069103,            0.008515,            0.008515,            0.008515
                   5,            0.040086,            0.022755,            0.055995,             0.32506,             0.24256,             0.18431,             0.10126,            0.045341,            0.011762,            0.057298,             0.00802,             0.00802,             0.00802
                   6,            0.039298,            0.021953,            0.050304,             0.47417,             0.32145,             0.26846,             0.15554,            0.046959,            0.010917,            0.052929,            0.007525,            0.007525,            0.007525
                   7,            0.038059,            0.021539,            0.044972,             0.51539,             0.37455,             0.36049,             0.21213,            0.042544,            0.010775,            0.047253,             0.00703,             0.00703,             0.00703
                   8,            0.037187,            0.020973,            0.041467,              0.4692,              0.3669,             0.36939,             0.21659,            0.041795,            0.010745,            0.045503,            0.006535,            0.006535,            0.006535
                   9,            0.036748,            0.020546,             0.03723,             0.47175,             0.31931,             0.33299,             0.20771,            0.039559,            0.010706,            0.047816,             0.00604,             0.00604,             0.00604
